RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus
Adam Fugitt,Islam Dulatov,0,1,14,21,0,0,0,0,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",WIN,Islam Dulatov,KO/TKOPunch,KO/TKOPunch,1,4:06,Welterweight,0.0,0.0,1.0,0.0,0.0
Marcin Prachnio,Jimmy Crute,0,0,21,5,0,3,0,2,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",WIN,Jimmy Crute,SUBArmbar,SUBArmbar,1,4:42,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Lukasz Brzeski,Ryan Spann,0,0,5,8,0,1,0,2,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",WIN,Ryan Spann,SUBGuillotine,SUBGuillotine Choke,1,2:47,Heavyweight,0.0,0.0,0.0,0.0,0.0
Jackson McVey,Brunno Ferreira,0,0,4,7,0,1,0,1,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",WIN,Brunno Ferreira,SUBArmbar,SUBArmbar,1,3:35,Middleweight,0.0,0.0,0.0,0.0,0.0
Carli Judice,Nicolle Caliari,1,0,109,32,0,1,0,0,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA",WIN,Carli Judice,KO/TKOKnee,KO/TKOKnee,3,1:30,Women's Flyweight,0.0,0.0,1.0,0.0,0.0
Derrick Lewis,Tallison Teixeira,1,0,9,3,0,0,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Derrick Lewis,KO/TKOPunches,KO/TKOPunches,1,0:35,Heavyweight,0.0,0.0,0.0,0.0,0.0
Stephen Thompson,Gabriel Bonfim,0,0,42,40,0,5,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Gabriel Bonfim,S-DEC,S-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Steve Garcia,Calvin Kattar,1,0,85,26,0,0,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Steve Garcia,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Morgan Charriere,Nate Landwehr,1,0,67,63,2,0,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Morgan Charriere,KO/TKOPunch,KO/TKOPunch,3,0:27,Featherweight,0.0,1.0,0.0,0.0,0.0
Vitor Petrino,Austen Lane,0,0,3,3,1,0,2,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Vitor Petrino,SUBRear,SUBRear Naked Choke,1,4:16,Heavyweight,0.0,0.0,0.0,0.0,0.0
Tuco Tokkos,Junior Tafa,0,0,11,24,5,0,1,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Tuco Tokkos,SUBArm,SUBArm Triangle,2,4:25,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Chris Curtis,Max Griffin,0,0,64,59,0,0,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Chris Curtis,S-DEC,S-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Chidi Njokuani,Jake Matthews,0,0,5,3,0,1,0,1,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Jake Matthews,SUBRear,SUBRear Naked Choke,1,1:09,Welterweight,0.0,0.0,0.0,0.0,0.0
Lauren Murphy,Eduarda Moura,0,0,38,64,2,2,2,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Eduarda Moura,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Valter Walker,Kennedy Nzechukwu,0,0,4,0,1,0,1,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Valter Walker,SUBHeel,SUBHeel Hook,1,0:54,Heavyweight,0.0,0.0,1.0,0.0,0.0
Mike Davis,Mitch Ramirez,1,0,47,51,1,0,2,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Mike Davis,KO/TKOPunches,KO/TKOPunches,2,4:08,Lightweight,0.0,0.0,0.0,0.0,0.0
Fatima Kline,Melissa Martinez,1,0,92,44,0,0,0,0,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA",WIN,Fatima Kline,KO/TKOKick,KO/TKOKick,3,2:36,Women's Strawweight,0.0,0.0,1.0,0.0,0.0
Charles Oliveira,Ilia Topuria,0,1,9,21,0,0,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Ilia Topuria,KO/TKOPunch,KO/TKOPunch,1,2:27,Lightweight,1.0,0.0,1.0,0.0,0.0
Alexandre Pantoja,Kai Kara-France,0,0,42,38,3,0,2,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Alexandre Pantoja,SUBRear,SUBRear Naked Choke,3,1:55,Flyweight,1.0,0.0,0.0,0.0,0.0
Joshua Van,Brandon Royval,1,0,204,215,0,0,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Joshua Van,U-DEC,U-DEC,3,5:00,Flyweight,0.0,1.0,0.0,0.0,0.0
Renato Moicano,Beneil Dariush,1,0,31,56,0,5,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Beneil Dariush,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Payton Talbott,Felipe Lima,0,0,59,26,0,3,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Payton Talbott,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Jack Hermansson,Gregory Rodrigues,0,1,30,18,0,0,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Gregory Rodrigues,KO/TKOPunch,KO/TKOPunch,1,4:21,Middleweight,0.0,0.0,1.0,0.0,0.0
Jose Delgado,Hyder Amil,1,0,9,3,0,0,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Jose Delgado,KO/TKOKnee,KO/TKOKnee,1,0:26,Featherweight,0.0,0.0,0.0,0.0,0.0
Tracy Cortez,Viviane Araujo,0,0,65,22,3,0,1,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Tracy Cortez,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Terrance McKinney,Viacheslav Borshchev,0,0,1,2,1,0,2,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Terrance McKinney,SUBGuillotine,SUBGuillotine Choke,1,0:55,Lightweight,0.0,0.0,0.0,0.0,0.0
Jacobe Smith,Niko Price,0,0,46,34,2,0,1,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Jacobe Smith,SUBRear,SUBRear Naked Choke,2,4:03,Welterweight,0.0,0.0,0.0,0.0,0.0
Alvin Hines,Jhonata Diniz,0,0,82,112,1,0,0,0,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA",WIN,Jhonata Diniz,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Khalil Rountree Jr.,Jamahal Hill,1,0,102,69,0,0,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Khalil Rountree Jr.,U-DEC,U-DEC,5,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Rafael Fiziev,Ignacio Bahamondes,0,0,62,50,4,0,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Rafael Fiziev,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Rizvan Kuniev,Curtis Blaydes,0,0,45,56,0,2,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Curtis Blaydes,S-DEC,S-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Myktybek Orolbai,Tofiq Musayev,0,0,2,2,3,0,1,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Myktybek Orolbai,SUBKimura,SUBKimura,1,4:35,Catch Weight,0.0,0.0,0.0,0.0,0.0
Nazim Sadykhov,Nikolas Motta,1,1,93,66,0,0,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Nazim Sadykhov,KO/TKOPunches,KO/TKOPunches,2,4:17,Lightweight,0.0,1.0,1.0,0.0,0.0
Muhammad Naimov,Bogdan Grad,0,0,18,31,1,3,1,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Muhammad Naimov,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Oban Elliott,Seokhyeon Ko,0,0,10,33,0,6,0,1,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Seokhyeon Ko,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Ismail Naurdiev,JunYong Park,0,0,76,45,1,2,0,1,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,JunYong Park,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Melissa Mullins,Daria Zhelezniakova,0,0,64,99,3,0,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Daria Zhelezniakova,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Irina Alekseeva,Klaudia Sygula,0,0,63,101,0,1,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Klaudia Sygula,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Azat Maksum,Tagir Ulanbekov,0,0,62,68,3,0,0,1,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Tagir Ulanbekov,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Hamdy Abdelwahab,Mohammed Usman,0,0,55,86,0,0,0,0,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan",WIN,Mohammed Usman,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Kamaru Usman,Joaquin Buckley,0,0,41,44,4,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Kamaru Usman,U-DEC,U-DEC,5,5:00,Welterweight,0.0,1.0,0.0,0.0,0.0
Rose Namajunas,Miranda Maverick,1,0,25,25,2,0,0,1,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Rose Namajunas,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Edmen Shahbazyan,Andre Petroski,1,0,53,34,0,2,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Edmen Shahbazyan,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Cody Garbrandt,Raoni Barcelos,0,0,28,37,0,1,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Raoni Barcelos,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Cody Brundage,Mansur Abdul-Malik,0,0,30,25,0,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",DRAWDRAW,Mansur Abdul-Malik,Overturned,Overturned,3,0:36,Middleweight,0.0,0.0,0.0,0.0,0.0
Oumar Sy,Alonzo Menifield,0,0,34,29,1,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Alonzo Menifield,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Rodolfo Bellato,Paul Craig,0,0,10,17,1,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",NCNC,Paul Craig,CNC,CNC,1,4:59,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Michael Chiesa,Court McGee,0,0,72,39,0,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Michael Chiesa,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Malcolm Wellmaker,Kris Moutinho,1,0,25,6,0,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Malcolm Wellmaker,KO/TKOPunch,KO/TKOPunch,1,2:37,Bantamweight,0.0,0.0,1.0,0.0,0.0
Cody Durden,Jose Ochoa,0,1,9,30,2,0,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Jose Ochoa,KO/TKOPunch,KO/TKOPunch,2,0:11,Flyweight,0.0,0.0,1.0,0.0,0.0
Cameron Smotherman,Ricky Simon,0,0,29,34,0,3,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Ricky Simon,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Phil Rowe,Ange Loosa,1,1,85,65,0,3,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Phil Rowe,KO/TKOPunches,KO/TKOPunches,3,4:03,Welterweight,0.0,0.0,0.0,0.0,0.0
Vanessa Demopoulos,Jamey-Lyn Horth,0,0,36,101,0,2,0,0,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA",WIN,Jamey-Lyn Horth,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Merab Dvalishvili,Sean O'Malley,0,0,52,31,5,0,1,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Merab Dvalishvili,SUBGuillotine,SUBGuillotine Choke,3,4:42,Bantamweight,1.0,0.0,1.0,0.0,0.0
Julianna Pena,Kayla Harrison,0,0,9,30,0,2,0,1,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Kayla Harrison,SUBKimura,SUBKimura,2,4:55,Women's Bantamweight,1.0,0.0,1.0,0.0,0.0
Kelvin Gastelum,Joe Pyfer,0,2,33,57,0,1,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Joe Pyfer,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Mario Bautista,Patchy Mix,0,0,173,122,0,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Mario Bautista,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Kevin Holland,Vicente Luque,0,0,40,24,1,0,1,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Kevin Holland,SUBAnaconda,SUBAnaconda Choke,2,1:03,Welterweight,0.0,0.0,1.0,0.0,0.0
Bruno Silva,Joshua Van,0,3,76,125,1,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Joshua Van,KO/TKOPunches,KO/TKOPunches,3,4:01,Flyweight,0.0,0.0,0.0,0.0,0.0
Azamat Murzakanov,Brendson Ribeiro,1,0,27,8,0,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Azamat Murzakanov,KO/TKOPunches,KO/TKOPunches,1,3:25,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Serghei Spivac,Waldo Cortes-Acosta,0,0,48,110,2,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Waldo Cortes-Acosta,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Andreas Gustafsson,Khaos Williams,0,0,98,39,8,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Andreas Gustafsson,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Ariane da Silva,Wang Cong,0,1,63,143,0,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Wang Cong,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
JooSang Yoo,Jeka Saragih,1,0,6,2,0,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,JooSang Yoo,KO/TKOPunch,KO/TKOPunch,1,0:28,Featherweight,0.0,0.0,1.0,0.0,0.0
Quillan Salkilld,Yanal Ashmouz,0,0,79,41,8,0,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,Quillan Salkilld,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
MarQuel Mederos,Mark Choinski,1,0,110,58,0,2,0,0,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA",WIN,MarQuel Mederos,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Ludovit Klein,Mateusz Gamrot,0,0,24,65,0,6,0,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Mateusz Gamrot,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Ramiz Brahimaj,Billy Ray Goff,0,0,1,1,2,0,1,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Ramiz Brahimaj,SUBGuillotine,SUBGuillotine Choke,1,3:16,Welterweight,0.0,0.0,1.0,0.0,0.0
Bruno Lopes,Dustin Jacoby,0,1,3,17,0,0,0,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Dustin Jacoby,KO/TKOPunch,KO/TKOPunch,1,1:50,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Macy Chiasson,Ketlen Vieira,0,0,22,28,0,0,0,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Ketlen Vieira,U-DEC,U-DEC,3,5:00,Women's Featherweight,0.0,0.0,0.0,0.0,0.0
Zachary Reese,Dusko Todorovic,0,0,50,35,2,4,0,1,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Zachary Reese,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Allan Nascimento,Jafel Filho,0,0,12,14,1,4,1,1,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Allan Nascimento,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Kurt Holobaugh,Jordan Leavitt,0,0,0,1,0,3,0,1,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Jordan Leavitt,SUBAnaconda,SUBAnaconda Choke,1,1:39,Lightweight,0.0,0.0,1.0,0.0,0.0
Bolaji Oki,Michael Aswell Jr.,0,0,136,118,0,0,0,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Bolaji Oki,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Alice Ardelean,Rayanne dos Santos,0,0,154,78,1,1,0,0,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA",WIN,Alice Ardelean,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,1.0,0.0,0.0,0.0
Gilbert Burns,Michael Morales,0,2,5,33,1,0,0,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Michael Morales,KO/TKOPunches,KO/TKOPunches,1,3:39,Welterweight,0.0,0.0,1.0,0.0,0.0
Sodiq Yusuff,Mairon Santos,0,0,36,40,1,0,0,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Mairon Santos,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0
Nursulton Ruziboev,Dustin Stoltzfus,0,0,35,21,1,2,0,2,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Nursulton Ruziboev,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Melquizael Costa,Julian Erosa,0,0,102,69,2,3,1,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Melquizael Costa,U-DEC,U-DEC,3,5:00,Featherweight,0.0,1.0,0.0,0.0,0.0
Matheus Camilo,Gabe Green,0,0,13,12,2,0,1,1,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Gabe Green,SUBRear,SUBRear Naked Choke,2,3:43,Lightweight,0.0,0.0,0.0,0.0,0.0
Thiago Moises,Jared Gordon,0,1,5,7,0,1,0,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Jared Gordon,KO/TKOPunch,KO/TKOPunch,1,3:37,Lightweight,0.0,0.0,0.0,0.0,0.0
Yadier del Valle,Connor Matthews,0,0,9,3,1,0,1,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Yadier del Valle,SUBRear,SUBRear Naked Choke,1,2:54,Featherweight,0.0,0.0,0.0,0.0,0.0
Luana Santos,Tainara Lisboa,0,0,15,6,2,0,1,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Luana Santos,SUBKeylock,SUBKeylock,2,4:59,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0
Denise Gomes,Elise Reed,1,0,28,11,3,0,0,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Denise Gomes,KO/TKOPunches,KO/TKOPunches,2,0:30,Women's Strawweight,0.0,0.0,1.0,0.0,0.0
HyunSung Park,Carlos Hernandez,0,0,14,4,1,0,1,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,HyunSung Park,SUBRear,SUBRear Naked Choke,1,2:26,Flyweight,0.0,0.0,0.0,0.0,0.0
Tecia Pennington,Luana Pinheiro,0,0,63,40,0,5,0,0,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA",WIN,Tecia Pennington,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
